"entity","years_in_sample","political_regime","democracy_index","cpi","extreme_poverty","gini","gdp_pc","modal_regime","modal_regime_family","years_with_aid","china_aid_usd2021_total","china_aid_usd2021_unadjusted_total","china_project_count_total","china_loan_share","china_development_intent_share","china_aid_usd2021","china_project_count","aid_any","log_china_aid","log_china_aid_total","log_gdp_pc","autocracy_score","regime_family","regime_label"
"Hong Kong",9,0,6.16111111111111,75.6666666666667,NA,NA,63803.2293333333,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,11.0635590845618,3,"Authoritarian","Closed autocracy"
"Hungary",9,1.55555555555556,6.70888888888889,49.6666666666667,0.520491424444444,0.302419736666667,33957.6658888889,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.4328699068762,1.44444444444444,NA,"Electoral democracy"
"Iceland",9,3,9.51111111111111,77.8333333333333,0.0163033054,0.266727978,61896.4575555556,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.0332182285303,0,"Democratic","Liberal democracy"
"India",9,1.44444444444444,7.33777777777778,38.8333333333333,14.7038787142857,0.343224642857143,7073.49393333333,NA,NA,8,2488945426.57079,2488945426.57079,43,0.627906976744186,0.232558139534884,276549491.841198,4.77777777777778,1,19.4379003605259,21.6351249346479,8.8641098282374,1.55555555555556,NA,"Electoral autocracy"
"Indonesia",9,2,6.67111111111111,35.6666666666667,5.92914251111111,0.368563146666667,11641.9705555556,"Electoral democracy","Democratic",9,34762443287.158,34762443287.158,234,0.816239316239316,0.324786324786325,3862493698.57312,26,1,22.0745788479905,24.2718034250966,9.3623719986716,1,"Democratic","Electoral democracy"
"Iran",9,1,2.21,27.6666666666667,0.549010936666667,0.357630476666667,14451.7186666667,"Electoral autocracy","Authoritarian",9,17805708173.8448,17805708173.8448,47,0.553191489361702,0.446808510638298,1978412019.31609,5.22222222222222,1,21.4055603499295,23.6027849268164,9.57856862533758,2,"Authoritarian","Electoral autocracy"
"Iraq",9,1,3.94555555555556,16.8333333333333,NA,NA,13902.8171111111,"Electoral autocracy","Authoritarian",8,7907170214.85796,7907170214.85796,41,0.390243902439024,0.585365853658537,878574468.317551,4.55555555555556,1,20.5938112307154,22.7910358070399,9.53984676844813,2,"Authoritarian","Electoral autocracy"
"Ireland",9,3,8.99888888888889,73.5,0.231835124333333,0.31347667,87270.6147777778,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.3767690846814,0,"Democratic","Liberal democracy"
"Israel",9,3,7.78111111111111,61.5,0.452634678888889,0.387877145555556,42585.8748888889,"Liberal democracy","Democratic",7,2721378250.03222,2721378250.03222,20,0.55,0.1,302375361.114692,2.22222222222222,1,19.527179724462,21.7244042988585,10.659277901896,0,"Democratic","Liberal democracy"
"Italy",9,3,7.81,46.5,1.30000540555556,0.351106961111111,48415.1055555556,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.7875671422675,0,"Democratic","Liberal democracy"
"Jamaica",9,2.11111111111111,7.23222222222222,40.6666666666667,0.18291468,0.37924475,9793.84811111111,NA,NA,9,1560003694.39778,1560003694.39778,61,0.131147540983607,0.770491803278688,173333743.821976,6.77777777777778,1,18.9707294548418,21.1679540270498,9.18950972378088,0.888888888888889,NA,"Electoral democracy"
"Japan",9,3,8.02777777777778,73.8333333333333,0.72788787,0.3285473,43982.6957777778,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.6915515577686,0,"Democratic","Liberal democracy"
"Jordan",9,0,3.79777777777778,48.6666666666667,NA,NA,9555.21666666667,"Closed autocracy","Authoritarian",8,2024318333.34308,2024318333.34308,52,0.115384615384615,0.730769230769231,224924259.260342,5.77777777777778,1,19.231274282434,21.4284988558182,9.16484253215424,3,"Authoritarian","Closed autocracy"
