"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"factor(entity)Seychelles",7.72868062293838,5.35658112272864,1.44283834144593,0.150712568025121,-2.83732660082011,18.2946878466969,"M3_country_year_FE"
"factor(entity)Sierra Leone",-14.1635775183422,9.05852968630314,-1.56356252160415,0.119584374441806,-32.0317826120707,3.7046275753863,"M3_country_year_FE"
"factor(entity)Sri Lanka",3.78354712039032,2.39368827722894,1.5806348539127,0.115624830340184,-0.93807046536995,8.50516470615059,"M3_country_year_FE"
"factor(entity)Sudan",-9.23921917752005,7.18189167855785,-1.28646039108394,0.199847758559371,-23.4057029135562,4.92726455851605,"M3_country_year_FE"
"factor(entity)Tanzania",-8.31234128429049,8.08171947260281,-1.02853623074514,0.305005235417952,-24.2537607030284,7.62907813444737,"M3_country_year_FE"
"factor(entity)Thailand",1.96404452472934,2.64095356884691,0.743687639153339,0.457984130615841,-3.24531081717814,7.17339986663683,"M3_country_year_FE"
"factor(entity)Togo",-12.0629280285437,9.51503538768352,-1.2677754245831,0.206429589384124,-30.8316034834892,6.70574742640191,"M3_country_year_FE"
"factor(entity)Tunisia",-0.773627245970282,2.77209466583873,-0.279076777392886,0.780489436631239,-6.2416620975127,4.69440760557214,"M3_country_year_FE"
"factor(entity)Turkey",8.84406347111797,4.38800629618993,2.01550838220018,0.0452603529672389,0.188597389084117,17.4995295531518,"M3_country_year_FE"
"factor(entity)Uganda",-11.156107389695,9.15199475529234,-1.21898096403997,0.224362652443969,-29.2086749660373,6.8964601866474,"M3_country_year_FE"
"factor(entity)Ukraine",1.88325829064396,2.61844819716218,0.719226866005981,0.472884816624517,-3.28170457136897,7.0482211526569,"M3_country_year_FE"
"factor(entity)Uruguay",7.90701793338057,5.56369671738348,1.42118061695842,0.156903441435135,-3.06753063776655,18.8815665045277,"M3_country_year_FE"
"factor(entity)Vietnam",-0.0546013186509716,2.70063153598629,-0.020217981580753,0.983890699673954,-5.38167313258543,5.27247049528349,"M3_country_year_FE"
