"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid","strategic_to_social_ratio","log_ratio_strategic_to_social"
"Nigeria",2013,TRUE,TRUE,1675495251.6986,14167.3269690132,"Both families funded",0.999991544465935,118264.740791488,11.6806809564412
"Nigeria",2017,TRUE,TRUE,1991401692.86547,49250349.8172295,"Both families funded",0.975865385775184,40.434264939349,3.69967756756096
"Nigeria",2018,TRUE,TRUE,253936135.478083,415463791.280009,"Both families funded",0.379348914344669,0.611211231418573,-0.492312665286599
"Nigeria",2019,TRUE,TRUE,1274264084.82169,78589702.5820594,"Both families funded",0.941908206700681,16.2141354777512,2.78588342213386
"Nigeria",2020,TRUE,TRUE,2872871963.92171,2247069.62706394,"Both families funded",0.999218442923287,1278.49708318805,7.15344051329575
"Nigeria",2021,TRUE,TRUE,50000000,8472280.18469398,"Both families funded",0.855106040709667,5.90159896863775,1.77522332582817
"North Macedonia",2019,TRUE,TRUE,201898462.687809,5010044.87170603,"Both families funded",0.975786182352773,40.2987334161457,3.69632003957898
"Pakistan",2015,TRUE,TRUE,12152417543.1476,44711310.0271169,"Both families funded",0.996334275831195,271.797393898262,5.60505691336446
"Pakistan",2016,TRUE,TRUE,5877705864.0994,50387644.0518989,"Both families funded",0.991500194120991,116.649745680616,4.75917581827317
"Pakistan",2017,TRUE,TRUE,6922231675.65442,41109339.4919769,"Both families funded",0.994096319654235,168.385864652615,5.12625815916765
"Pakistan",2018,TRUE,TRUE,1586821232.91135,47537125.7340092,"Both families funded",0.970913890773985,33.3806726513147,3.50797706935824
"Pakistan",2019,TRUE,TRUE,294373928.41268,30462981.4552793,"Both families funded",0.906220689429468,9.66333281740105,2.26833860087474
"Pakistan",2020,TRUE,TRUE,1307989602.34906,23385993.7400891,"Both families funded",0.982434713533293,55.9304691896357,4.02410929767075
"Pakistan",2021,TRUE,TRUE,1709655813.95349,85009205.2776925,"Both families funded",0.952632271556666,20.1114197970525,3.00128780283652
"Panama",2018,TRUE,TRUE,16313505.3889381,11864367.5555914,"Both families funded",0.578947368421051,1.37499999999999,0.31845373111853
"Papua New Guinea",2013,TRUE,TRUE,135364386.26278,116259827.798635,"Both families funded",0.537962480152014,1.16432639567671,0.152142718659058
"Papua New Guinea",2014,TRUE,TRUE,127572284.29719,39126101.2846444,"Both families funded",0.765288061140599,3.2605416872255,1.1818933433009
"Papua New Guinea",2017,TRUE,TRUE,454021233.866263,182693498.108605,"Both families funded",0.713068523572632,2.4851526658949,0.910334092629307
"Papua New Guinea",2018,TRUE,TRUE,188250489.959584,3806711.46214931,"Both families funded",0.980179282870054,49.4522613104215,3.90100778625313
"Peru",2014,TRUE,TRUE,7943408285.35589,3593585.47316028,"Both families funded",0.999547806137261,2210.4408938325,7.70094727408614
"Peru",2016,TRUE,TRUE,33447203.1867838,14038015.7352014,"Both families funded",0.70437083256866,2.38261616297468,0.868199112115121
"Peru",2017,TRUE,TRUE,589769592.687321,14472148.8172194,"Both families funded",0.976049074694535,40.7520403594519,3.707505908604
